county,year,source,target,units,value
Clayton,2023,onsiteBTM,commercial,EJ,3.899196e-7
Clayton,2024,onsiteBTM,commercial,EJ,4.816728e-7
Cobb,2020,onsiteBTM,commercial,EJ,1.11456e-7
Cobb,2021,onsiteBTM,commercial,EJ,1.071936e-6
Cobb,2022,onsiteBTM,commercial,EJ,1.174608e-6
Cobb,2023,onsiteBTM,commercial,EJ,9.76824e-7
Cobb,2024,onsiteBTM,commercial,EJ,1.393884e-6
DeKalb,2020,onsiteBTM,commercial,EJ,8.79696e-7
DeKalb,2021,onsiteBTM,commercial,EJ,2.1015936e-6
DeKalb,2022,onsiteBTM,commercial,EJ,2.3509152e-6
DeKalb,2023,onsiteBTM,commercial,EJ,2.2715388e-6
DeKalb,2024,onsiteBTM,commercial,EJ,5.3035056e-6
Douglas,2020,onsiteBTM,commercial,EJ,8.1576e-9
Douglas,2021,onsiteBTM,commercial,EJ,8.1576e-9
Douglas,2022,onsiteBTM,commercial,EJ,8.1576e-9
Douglas,2023,onsiteBTM,commercial,EJ,8.1576e-9
Douglas,2024,onsiteBTM,commercial,EJ,8.1576e-9
Fayette,2020,onsiteBTM,commercial,EJ,8.84412e-8
Fayette,2021,onsiteBTM,commercial,EJ,8.84412e-8
Fayette,2022,onsiteBTM,commercial,EJ,8.84412e-8
Fayette,2023,onsiteBTM,commercial,EJ,1.498896e-7
Fayette,2024,onsiteBTM,commercial,EJ,2.620836e-7
Fulton,2020,onsiteBTM,commercial,EJ,2.076948e-7
Fulton,2021,onsiteBTM,commercial,EJ,1.849716e-6
Fulton,2022,onsiteBTM,commercial,EJ,2.0994768e-6
Fulton,2023,onsiteBTM,commercial,EJ,1.7960328e-6
Fulton,2024,onsiteBTM,commercial,EJ,2.4697584e-6
Gwinnett,2020,onsiteBTM,commercial,EJ,1.007424e-7
Gwinnett,2021,onsiteBTM,commercial,EJ,1.6564104e-6
Gwinnett,2022,onsiteBTM,commercial,EJ,2.732202e-6
Gwinnett,2023,onsiteBTM,commercial,EJ,2.972862e-6
Gwinnett,2024,onsiteBTM,commercial,EJ,2.6962092e-6
Hall,2020,onsiteBTM,commercial,EJ,5.472e-9
Hall,2021,onsiteBTM,commercial,EJ,2.3328e-8
Hall,2022,onsiteBTM,commercial,EJ,1.86552e-8
Hall,2023,onsiteBTM,commercial,EJ,2.37348e-8
Hall,2024,onsiteBTM,commercial,EJ,7.488e-9
Henry,2020,onsiteBTM,commercial,EJ,1.796184e-7
Henry,2021,onsiteBTM,commercial,EJ,4.550112e-7
Henry,2022,onsiteBTM,commercial,EJ,5.349672e-7
Henry,2023,onsiteBTM,commercial,EJ,4.568004e-7
Henry,2024,onsiteBTM,commercial,EJ,6.203124e-7
Bartow,2020,onsiteBTM,industrial,EJ,1.60704e-7
Bartow,2021,onsiteBTM,industrial,EJ,1.60704e-7
Bartow,2022,onsiteBTM,industrial,EJ,7.704e-7
Bartow,2023,onsiteBTM,industrial,EJ,6.26688e-7
Bartow,2024,onsiteBTM,industrial,EJ,6.09984e-7
Cherokee,2020,onsiteBTM,industrial,EJ,3.9132e-9
Cherokee,2021,onsiteBTM,industrial,EJ,6.1596e-9
Cherokee,2022,onsiteBTM,industrial,EJ,1.3698e-8
Cherokee,2023,onsiteBTM,industrial,EJ,1.1196e-8
Cherokee,2024,onsiteBTM,industrial,EJ,8.2332e-9
Cobb,2020,onsiteBTM,industrial,EJ,6.4584e-8
Cobb,2021,onsiteBTM,industrial,EJ,7.3656e-8
Cobb,2022,onsiteBTM,industrial,EJ,1.0152e-7
Cobb,2023,onsiteBTM,industrial,EJ,1.02816e-7
Cobb,2024,onsiteBTM,industrial,EJ,1.09728e-7
Fayette,2020,onsiteBTM,industrial,EJ,1.232568e-7
Fayette,2021,onsiteBTM,industrial,EJ,1.232568e-7
Fayette,2022,onsiteBTM,industrial,EJ,1.292508e-7
Fayette,2023,onsiteBTM,industrial,EJ,1.21428e-7
