county,year,Single Family,Multifamily,Residential,Commercial,Institutional,Industrial,Municipal,Irrigation,Agricultural,Other,Self Supplied,New Commercial,Anheuser-Busch,NRW
Cherokee,2040,16.37741782,2.184100055,,0.888521785,0.215270243,0.868911891,,0.97519253,0.286183044,0.656630676,0.910966433,0.002105161,,4.711821621
Cherokee,2041,16.57315333,2.210203434,,0.899140996,0.217843056,0.879296734,,0.986847591,0.289603375,0.664478429,0.921853893,0.002130321,,4.768135187
Cherokee,2042,16.76404969,2.235661461,,0.90949767,0.220352262,0.889424833,,0.998214506,0.292939145,0.672132164,0.932472183,0.002154859,,4.823056519
Cherokee,2043,16.96956738,2.263069395,,0.920647593,0.223053655,0.900328674,,1.010452046,0.296530412,0.68037212,0.94390376,0.002181276,,4.88218444
Cherokee,2044,17.18401088,2.29166768,,0.932281766,0.225872371,0.911706079,,1.023221074,0.300277651,0.688969946,0.955831821,0.002208841,,4.943880341
Cherokee,2045,17.39845411,2.320265929,,0.943915925,0.228691085,0.923083469,,1.035990085,0.304024885,0.697567761,0.967759866,0.002236405,,5.005576162
Cherokee,2046,17.60583925,2.347922908,,0.955167163,0.231417024,0.934086389,,1.048338823,0.307648784,0.705882591,0.979295317,0.002263063,,5.065241354
Cherokee,2047,17.82031024,2.376524859,,0.966802828,0.234236103,0.945465252,,1.061109488,0.311396503,0.714481518,0.991224906,0.002290631,,5.126945163
Cherokee,2048,18.03495713,2.405150267,,0.978448035,0.237057493,0.956853447,,1.073890626,0.315147295,0.723087498,1.00316428,0.002318222,,5.188699576
Cherokee,2049,18.25598158,2.434626191,,0.990439245,0.239962712,0.968580007,,1.087051516,0.319009531,0.731949178,1.015458395,0.002346632,,5.252288832
Cherokee,2050,18.48093896,2.464626611,,1.002643826,0.242919627,0.980515231,,1.100446592,0.322940492,0.740968544,1.027971272,0.002375549,,5.317009598
Cherokee,2051,18.71666757,2.496063488,,1.015432778,0.246018122,0.993021927,,1.11448304,0.327059672,0.750419767,1.041083281,0.002405849,,5.384829273
Cherokee,2052,18.9895573,2.532456189,,1.030237826,0.249605076,1.007500225,,1.130732245,0.331828215,0.761360916,1.056262315,0.002440927,,5.46334029
Cherokee,2053,19.27483188,2.570500541,,1.045714789,0.25335482,1.022635607,,1.147718906,0.336813173,0.772798619,1.072130236,0.002477596,,5.545414459
Cherokee,2054,19.56603138,2.609335041,,1.061513195,0.257182443,1.038085338,,1.165058366,0.341901665,0.784473874,1.08832772,0.002515027,,5.629193239
Cherokee,2055,19.86055947,2.648613444,,1.077492187,0.261053819,1.05371167,,1.182596026,0.347048322,0.796282584,1.104710352,0.002552886,,5.713929663
Cherokee,2056,20.16524746,2.689246777,,1.094022382,0.26505874,1.06987704,,1.200738658,0.352372515,0.808498642,1.121658111,0.00259205,,5.801589116
Cherokee,2057,20.47341378,2.73034398,,1.110741287,0.269109381,1.086226954,,1.219088406,0.357757489,0.820854158,1.138799347,0.002631662,,5.89024929
