data_status,msn,statecode,year,data
2024,CDEGR,GA,2020,192.8
2024,CDEGR,GA,2021,192.6
2024,CDEGR,GA,2022,186.6
2024,CDEGR,GA,2023,187.9
2024,CDEGR,GA,2024,183.3
2024,CDTCR,GA,2020,47.6
2024,CDTCR,GA,2021,48.7
2024,CDTCR,GA,2022,48.3
2024,CDTCR,GA,2023,48
2024,CDTCR,GA,2024,46.3
2024,CDTPR,GA,2020,10.8
2024,CDTPR,GA,2021,11.5
2024,CDTPR,GA,2022,11.4
2024,CDTPR,GA,2023,11.5
2024,CDTPR,GA,2024,11.4
2024,CLACB,GA,2020,0
2024,CLACB,GA,2021,0
2024,CLACB,GA,2022,0
2024,CLACB,GA,2023,0
2024,CLACB,GA,2024,0
2024,CLACD,GA,2020,0
2024,CLACD,GA,2021,0
2024,CLACD,GA,2022,0
2024,CLACD,GA,2023,0
2024,CLACD,GA,2024,0
2024,CLACE,GA,2020,0
2024,CLACE,GA,2021,0
2024,CLACE,GA,2022,0
2024,CLACE,GA,2023,0
2024,CLACE,GA,2024,0
2024,CLACK,GA,2020,0
2024,CLACK,GA,2021,0
2024,CLACK,GA,2022,0
2024,CLACK,GA,2023,0
2024,CLACK,GA,2024,0
2024,CLACP,GA,2020,0
2024,CLACP,GA,2021,0
2024,CLACP,GA,2022,0
2024,CLACP,GA,2023,0
2024,CLACP,GA,2024,0
2024,CLACV,GA,2020,0
2024,CLACV,GA,2021,0
2024,CLACV,GA,2022,0
2024,CLACV,GA,2023,0
2024,CLACV,GA,2024,0
2024,CLCAS,GA,2020,18.8
2024,CLCAS,GA,2021,25.9
2024,CLCAS,GA,2022,27.5
2024,CLCAS,GA,2023,33.1
2024,CLCAS,GA,2024,35
2024,CLCCB,GA,2020,0
2024,CLCCB,GA,2021,0
2024,CLCCB,GA,2022,0
2024,CLCCB,GA,2023,0
2024,CLCCB,GA,2024,0
2024,CLCCD,GA,2020,0
2024,CLCCD,GA,2021,0
2024,CLCCD,GA,2022,0
2024,CLCCD,GA,2023,0
2024,CLCCD,GA,2024,0
2024,CLCCE,GA,2020,0
2024,CLCCE,GA,2021,0
2024,CLCCE,GA,2022,0
2024,CLCCE,GA,2023,0
2024,CLCCE,GA,2024,0
2024,CLCCP,GA,2020,0
2024,CLCCP,GA,2021,0
2024,CLCCP,GA,2022,0
2024,CLCCP,GA,2023,0
2024,CLCCP,GA,2024,0
2024,CLCCV,GA,2020,0
2024,CLCCV,GA,2021,0
2024,CLCCV,GA,2022,0
2024,CLCCV,GA,2023,0
2024,CLCCV,GA,2024,0
2024,CLEIB,GA,2020,146279
2024,CLEIB,GA,2021,196611
2024,CLEIB,GA,2022,174369
2024,CLEIB,GA,2023,173140
