county,geoid,geoidfq,tract,pop,median_age,land_km2,water_km2,water_share,pop_density,housing_units,housing_occupied,housing_vacant,hu_density,vacancy_rate,persons_per_hh,median_hh_income,income_per_capita,poverty_universe,poverty_below,poverty_rate,commuters,commute_drove_alone,commute_transit,commute_wfh,mean_commute_min,drove_alone_share,transit_share,wfh_share
Cobb,13067031512,1400000US13067031512,031512,5334,42.7,12.634607,0.028338,0.0022378680472828396,422.1737961457764,1877,1689,188,148.56022035351,0.1001598295151838,3.15,85308,32716,5334,832,0.15598050243719536,2862,2197,36,149,33.28234426833763,0.7676450034940601,0.012578616352201259,0.052061495457721874
Cobb,13067031513,1400000US13067031513,031513,5559,39.3,6.756905,0.005541,8.193780771040538e-4,822.7139496559446,1984,1984,0,293.6255578552607,0,2.78,99605,43487,5494,168,0.030578813250819074,3202,2238,0,496,37.75868440502587,0.6989381636477202,0,0.15490318550905685
Cobb,13067031514,1400000US13067031514,031514,3459,31.4,2.957538,0,0,1169.5538654110276,986,979,7,333.3854036702149,0.007099391480730223,3.53,93079,29599,3459,154,0.04452153801676785,1628,1160,0,262,34.13616398243045,0.7125307125307125,0,0.16093366093366093
Cobb,13067031515,1400000US13067031515,031515,3649,48.8,8.85315,0.032599,0.0036686834165583567,412.1696797185183,1593,1593,0,179.93595499906814,0,2.29,113423,51463,3649,27,0.007399287476020828,2032,1689,18,185,34.01461829994586,0.8312007874015748,0.008858267716535433,0.09104330708661418
Cobb,13067031516,1400000US13067031516,031516,2880,38.9,3.347393,0.069858,0.020442747693979753,860.3710409862242,924,924,0,276.03570898308027,0,3.12,93750,44850,2880,100,0.034722222222222224,1547,1153,0,351,42.625418060200666,0.7453135100193924,0,0.226890756302521
Cobb,13067031517,1400000US13067031517,031517,3204,37.6,3.750741,0.033058,0.008736722008753636,854.2312039141066,1217,1184,33,324.4692182158139,0.027115858668857847,2.7,122188,49262,3204,127,0.039637952559300874,1605,1082,0,358,35.55733761026463,0.6741433021806854,0,0.22305295950155762
Cobb,13067031518,1400000US13067031518,031518,2579,36.7,3.843181,0,0,671.0586881023819,991,936,55,257.85930977489744,0.055499495459132187,2.74,73333,29233,2579,296,0.11477316789453276,1343,1023,0,223,40.142857142857146,0.7617274758004468,0,0.16604616530156366
Coweta,13077170101,1400000US13077170101,170101,1707,44.1,50.910419,0.616158,0.011958061953154776,33.529482442483925,718,718,0,14.103203511249829,0,2.38,79667,34790,1707,121,0.07088459285295841,821,700,0,25,23.806532663316585,0.8526187576126675,0,0.030450669914738125
Coweta,13077170102,1400000US13077170102,170102,5747,50.1,170.873735,1.022784,0.005949998324282529,33.63302148220731,2409,2283,126,14.098129241454222,0.052303860523038606,2.52,81555,38512,5747,304,0.052897163737602226,3132,2588,34,266,29.72784368457781,0.8263090676883781,0.010855683269476373,0.08492975734355045
Coweta,13077170200,1400000US13077170200,170200,8164,34.2,38.323131,0.505391,0.01301597315499158,213.03061067740003,3002,2730,272,78.33389187329189,0.09060626249167222,2.97,76071,28957,8112,1340,0.16518737672583828,3778,3005,0,313,26.327561327561327,0.7953943885653785,0,0.08284806776071996
Coweta,13077170303,1400000US13077170303,170303,6746,47.5,59.292784,0.870127,0.01446284738449574,113.77438441750348,2346,2285,61,39.566366119695104,0.02600170502983802,2.95,138906,55586,6746,121,0.017936554995552922,3338,2464,0,618,36.57720588235294,0.738166566806471,0,0.18514080287597365
Coweta,13077170304,1400000US13077170304,170304,7919,39.6,29.573612,0.310427,0.010387719009468567,267.7724993484056,2451,2451,0,82.87793861635839,0,3.19,92739,36663,7844,617,0.07865884752677206,3591,3078,54,215,30.499111374407583,0.8571428571428571,0.015037593984962405,0.05987190197716513
Coweta,13077170307,1400000US13077170307,170307,6824,31.3,7.329948,0.045026,0.006105241862547583,930.975226563681,3173,3081,92,432.88165209357555,0.02899464229435865,2.11,49964,31189,6498,808,0.12434595260080025,3621,2942,0,67,26.852841868317388,0.8124827395747031,0,0.018503175918254625
