year,source,target,units,value
2023,publicWatSup,Water Losses,MGD,122.98393958900002
2023,publicWatSup,agricultural,MGD,0.2760760475271594
2023,publicWatSup,commercial,MGD,133.17568104171505
2023,publicWatSup,industrial,MGD,23.070394502554745
2023,publicWatSup,residential,MGD,362.333090095606
2023,residential,Water Losses,MGD,70.28509257140364
2023,residential,energy_services,PJ,83.42540016050316
2023,residential,rejected_energy,PJ,44.921369317194
2023,residential,septic,MGD,69.00500200547945
2023,residential,wastewater,MGD,229.04117813272293
2023,subsurface,wastewater,MGD,129.42340270082806
2023,surfaceWater,Basins,MGD,703.826431276403
2023,transport,energy_services,PJ,354.34641580176606
2023,transport,rejected_energy,PJ,190.80191620095093
2023,wastewater,in-county treatment,MGD,395.1275369581487
2023,wastewater,ww_exports,MGD,74.15239151
2023,ww_imports,in-county treatment,MGD,74.15239151
2024,Basins,Bowen Plant,MGD,33.6
2024,Basins,Jack McDonough Plant,MGD,11.2
2024,Basins,Yates Plant,MGD,6.2
2024,Basins,industrial,MGD,11.54725
2024,Basins,publicWatSup,MGD,647.9286740589723
2024,Biomass,Small-scale generation,PJ,0.72391779
2024,Biomass,commercial,PJ,0.49346947942281455
2024,Biomass,industrial,PJ,96.4873429721047
2024,Biomass,residential,PJ,2.5732090061075703
2024,Biomass,transport,PJ,21.7429820346801
2024,Bowen Plant,Disposal,MGD,18.3
2024,Bowen Plant,Energy Losses,PJ,70.177038099
2024,Bowen Plant,Water Losses,MGD,15.3
2024,Bowen Plant,elec_own_use,PJ,3.6016785359999983
2024,Bowen Plant,electricity,PJ,38.5644744
2024,Coal,Bowen Plant,PJ,112.15639589999999
2024,Coal,industrial,PJ,2.5329595401881675
2024,Energy Storage,Small-scale generation,PJ,0
2024,Jack McDonough,Energy Losses,PJ,65.19024186899999
2024,Jack McDonough,elec_own_use,PJ,0.9114015960000055
2024,Jack McDonough,electricity,PJ,64.7548416
2024,Jack McDonough Plant,Disposal,MGD,2.799999999999999
2024,Jack McDonough Plant,Water Losses,MGD,8.4
2024,Natural Gas,Jack McDonough,PJ,130.82349310499998
2024,Natural Gas,Small-scale generation,PJ,0.39491287500000005
2024,Natural Gas,Yates Plant,PJ,23.78409091
2024,Natural Gas,commercial,PJ,31.45302784709931
2024,Natural Gas,industrial,PJ,88.88239936352497
2024,Natural Gas,residential,PJ,74.68481378236577
2024,Natural Gas,transport,PJ,6.712287645243961
2024,Petroleum,Bowen Plant,PJ,0.186795135
2024,Petroleum,Jack McDonough,PJ,0.032991959999999994
2024,Petroleum,Small-scale generation,PJ,0.0021173850000000003
2024,Petroleum,Yates Plant,PJ,0
2024,Petroleum,commercial,PJ,12.729307118921254
2024,Petroleum,industrial,PJ,45.67266793013215
2024,Petroleum,residential,PJ,4.571898238406678
2024,Petroleum,transport,PJ,508.15171268264714
2024,Renewables,Small-scale generation,PJ,1.13655304874
2024,Renewables,commercial,PJ,0.19383171121705073
2024,Renewables,industrial,PJ,0.0044326388810468015
2024,Renewables,residential,PJ,0.8016575309444651
2024,Small-scale generation,commercial,PJ,0.021816000000000002
2024,Small-scale generation,electricity,PJ,1.4543099999999998
2024,Yates Plant,Disposal,MGD,2.7
2024,Yates Plant,Energy Losses,PJ,15.787816306
2024,Yates Plant,Water Losses,MGD,3.5
