county,year,source,target,units,value
Bartow,2023,Bowen Plant,electricity,PJ,36.8211348
Bartow,2023,CARTERSVILLE JAMES R. STAFFORD WPCP,Etowah River_ds,MGD,9.094803423713383
Bartow,2023,Coal,Bowen Plant,PJ,105.86951796999999
Bartow,2023,Coal,industrial,PJ,0.048029444262028105
Bartow,2023,EMERSON HENRY JORDAN WWTP,Pumpkinvine Creek_ds,MGD,0.14281941211913665
Bartow,2023,Etowah River,publicWatSup,MGD,0
Bartow,2023,Lewis Spring,publicWatSup,MGD,2.7181884706981854
Bartow,2023,Moss Springs,publicWatSup,MGD,0.33977355883727317
Bartow,2023,Natural Gas,commercial,PJ,0.5775263853639302
Bartow,2023,Natural Gas,industrial,PJ,1.7610065354507132
Bartow,2023,Natural Gas,residential,PJ,1.3725611419122106
Bartow,2023,Natural Gas,transport,PJ,0.13919877968385547
Bartow,2023,Petroleum,Bowen Plant,PJ,0.16053513
Bartow,2023,Petroleum,commercial,PJ,0.26739058332592225
Bartow,2023,Petroleum,industrial,PJ,0.9300456230369532
Bartow,2023,Petroleum,residential,PJ,0.07688438543930678
Bartow,2023,Petroleum,transport,PJ,10.247966109217808
Bartow,2023,Renewables,Small-scale generation,PJ,0.4046377806
Bartow,2023,Renewables,commercial,PJ,0.002991506004946734
Bartow,2023,Renewables,industrial,PJ,6.924667412855896e-4
Bartow,2023,Renewables,residential,PJ,0.014827111634497857
Bartow,2023,Small-scale generation,commercial,PJ,0.0031284
Bartow,2023,Small-scale generation,electricity,PJ,0.40154759999999995
Bartow,2023,agricultural,Water Losses,MGD,0.440916141
Bartow,2023,agricultural,wastewater,MGD,0
Bartow,2023,commercial,Water Losses,MGD,0
Bartow,2023,commercial,energy_services,PJ,1.3524377857554426
Bartow,2023,commercial,rejected_energy,PJ,0.728235730791392
Bartow,2023,commercial,wastewater,MGD,2.8368418153424657
Bartow,2023,distribute_groundwater,industrial,PJ,9.85331626527263e-4
Bartow,2023,distribute_groundwater,publicWatSup,PJ,3.006432e-4
Bartow,2023,distribute_groundwater,residential,PJ,4.993183459367999e-4
Bartow,2023,distribute_surfaceWater,industrial,PJ,0.0018299015921220598
Bartow,2023,distribute_surfaceWater,publicWatSup,PJ,0.0327346272968088
Bartow,2023,electricity,Energy Losses,PJ,0.19619322639371403
Bartow,2023,electricity,commercial,PJ,1.2198246462769349
Bartow,2023,electricity,distribute_groundwater,PJ,0.0017852931724640626
Bartow,2023,electricity,distribute_surfaceWater,PJ,0.034564528888930864
Bartow,2023,electricity,elec_export,PJ,33.7566020670444
Bartow,2023,electricity,en4water,PJ,0.1226069122177527
Bartow,2023,electricity,en_wwdist,PJ,0.014428279142784002
Bartow,2023,electricity,en_wwtreat,PJ,0.028856558285568004
Bartow,2023,electricity,extract_groundwater,PJ,0.0016068528615872184
Bartow,2023,electricity,extract_surfaceWater,PJ,0.010683476923753073
Bartow,2023,electricity,government,PJ,0.010477375080907904
Bartow,2023,electricity,industrial,PJ,0.878229919095133
Bartow,2023,electricity,residential,PJ,1.0333566541582977
Bartow,2023,electricity,transport,PJ,0.005391599732873771
Bartow,2023,electricity,treat_groundwater,PJ,3.5190875034147386e-4
Bartow,2023,electricity,treat_surfaceWater,PJ,0.030330014192324034
Bartow,2023,en4water,energy_services,PJ,0.079694492941539255
Bartow,2023,en4water,rejected_energy,PJ,0.04291241927621344
Bartow,2023,en_wwdist,in-county treatment,PJ,0.014428279142784002
Bartow,2023,en_wwtreat,in-county treatment,PJ,0.028856558285568004
Bartow,2023,extract_groundwater,agricultural,PJ,3.8240235537190085e-4
Bartow,2023,extract_groundwater,industrial,PJ,6.757936609515352e-4
Bartow,2023,extract_groundwater,publicWatSup,PJ,2.0619734848484846e-4
Bartow,2023,extract_groundwater,residential,PJ,3.4245949677893416e-4
Bartow,2023,extract_surfaceWater,Bowen Plant,PJ,0.0059422326790633615
Bartow,2023,extract_surfaceWater,industrial,PJ,2.5100907406771307e-4
Bartow,2023,extract_surfaceWater,publicWatSup,PJ,0.004490235170622
Bartow,2023,government,energy_services,PJ,0.006810293802590139
Bartow,2023,government,rejected_energy,PJ,0.0036670812783177664
